Title,Title_link,Thumbnail,car-details,payment-total
Chevrolet Bolt LT,https://www.kavak.com/chevrolet-bolt-lt-2018-compra-de-autos-38524,,"2018 • 42,560 km • Monterrey","$543,999"
Kia Rio HB EX,https://www.kavak.com/kia-rio-hb-ex-2018-compra-de-autos-38348,,"2018 • 73,920 km • Monterrey","$234,999"
Toyota Sienna XLE,https://www.kavak.com/toyota-sienna-xle-2014-compra-de-autos-38048,,"2014 • 98,810 km • Monterrey","$284,999"
Gmc Terrain SLT,https://www.kavak.com/gmc-terrain-slt-2017-compra-de-autos-37821,,"2017 • 97,620 km • Monterrey","$352,999"
Kia Forte LX,https://www.kavak.com/kia-forte-lx-2016-compra-de-autos-37697,,"2016 • 110,620 km • Monterrey","$174,999"
Toyota Camry XLE,https://www.kavak.com/toyota-camry-xle-2015-compra-de-autos-37565,,"2015 • 71,350 km • Monterrey","$259,999"
Dodge Journey SE,https://www.kavak.com/dodge-journey-se-2016-compra-de-autos-37406,,"2016 • 87,580 km • Monterrey","$254,999"
Mitsubishi Mirage GLX,https://www.kavak.com/mitsubishi-mirage-glx-2019-compra-de-autos-37331,,"2019 • 25,250 km • Monterrey","$202,999"
Chevrolet Aveo LS,https://www.kavak.com/chevrolet-aveo-ls-2019-compra-de-autos-36871,,"2019 • 44,120 km • Monterrey","$181,999"
Volkswagen Tiguan Track y FunRLine,https://www.kavak.com/volkswagen-tiguan-track-y-funrline-2016-compra-de-autos-36680,,"2016 • 81,770 km • Monterrey","$340,999"
Ford Edge SEL Plus,https://www.kavak.com/ford-edge-sel-plus-2016-compra-de-autos-36161,,"2016 • 106,640 km • Monterrey","$355,999"
Kia Forte LX,https://www.kavak.com/kia-forte-lx-2018-compra-de-autos-36158,,"2018 • 43,610 km • Monterrey","$227,999"
Kia Soul SX,https://www.kavak.com/kia-soul-sx-2017-compra-de-autos-36010,,"2017 • 78,910 km • Monterrey","$281,999"
Audi A5 Sportback Luxury,https://www.kavak.com/audi-a5-sportback-luxury-2015-compra-de-autos-35883,,"2015 • 94,560 km • Monterrey","$350,999"
Audi A3 Hatch Back Ambiente 1.8T,https://www.kavak.com/audi-a3-hatch-back-ambiente-18t-2014-compra-de-autos-35513,,"2014 • 112,900 km • Monterrey","$236,999"
Dodge Neon SXT,https://www.kavak.com/dodge-neon-sxt-2018-compra-de-autos-35510,,"2018 • 42,000 km • Monterrey","$249,999"
Mercedes Benz Clase M ML350 CGI,https://www.kavak.com/mercedes-benz-clase-m-ml350-cgi-2013-compra-de-autos-34167,,"2013 • 124,690 km • Monterrey","$377,999"
Chevrolet Cavalier LS,https://www.kavak.com/chevrolet-cavalier-ls-2018-compra-de-autos-34049,,"2018 • 64,440 km • Monterrey","$214,999"
Bmw Serie 4 420i Coupé,https://www.kavak.com/bmw-serie-4-420i-coupe-2017-compra-de-autos-33969,https://images.kavak.services/images/33969/bmw-serie-4-420i-coupe2017-frontal-lateral-piloto-lejana-1611023074686.jpg?d=540x310,"2017 • 51,790 km • Monterrey","$472,999"
Jeep Grand Cherokee Summit HEMI,https://www.kavak.com/jeep-grand-cherokee-summit-hemi-2015-compra-de-autos-33891,https://images.kavak.services/images/33891/jeep-grand-cherokee-summit-hemi2015-frontal-lateral-piloto-lejana-1611014087252.jpg?d=540x310,"2015 • 98,550 km • Monterrey","$547,999"
Hyundai Accent HB GL MID,https://www.kavak.com/hyundai-accent-hb-gl-mid-2019-compra-de-autos-33889,https://images.kavak.services/images/33889/hyundai-accent-hb-gl-mid2019-frontal-lateral-piloto-lejana-1611014108939.jpg?d=540x310,"2019 • 38,040 km • Monterrey","$246,999"
Audi A3 Ambiente 1.8T,https://www.kavak.com/audi-a3-ambiente-18t-2016-compra-de-autos-33638,https://images.kavak.services/images/33638/audi-a3-ambiente-1.8t2016-frontal-lateral-piloto-lejana-1611030182052.jpg?d=540x310,"2016 • 90,730 km • Monterrey","$296,999"
Buick Enclave Premium,https://www.kavak.com/buick-enclave-premium-2017-compra-de-autos-33474,https://images.kavak.services/images/33474/buick-enclave-premium2017-frontal-lateral-piloto-lejana-1611026433465.jpg?d=540x310,"2017 • 65,910 km • Monterrey","$449,999"
Mazda CX-9 Sport,https://www.kavak.com/mazda-cx-9-sport-2015-compra-de-autos-33236,https://images.kavak.services/images/33236/mazda-cx-9-sport2015-frontal-lateral-piloto-lejana-1611122975519.jpg?d=540x310,"2015 • 115,250 km • Monterrey","$266,999"
Ford Escape Titanium Ecoboost,https://www.kavak.com/ford-escape-titanium-ecoboost-2020-compra-de-autos-32636,https://images.kavak.services/images/32636/ford-escape-titanium-ecoboost2020-frontal-lateral-piloto-lejana-1610252495650.jpg?d=540x310,"2020 • 22,390 km • Monterrey","$564,999"
Mercedes Benz Clase E E500 CGI Biturbo,https://www.kavak.com/mercedes-benz-clase-e-e500-cgi-biturbo-2013-compra-de-autos-32178,https://images.kavak.services/images/32178/mercedes-benz-clase-e-e500-cgi-biturbo2013-frontal-lateral-piloto-lejana-1610164292956.jpg?d=540x310,"2013 • 45,140 km • Monterrey","$422,999"
Volkswagen Gol HB Trendline,https://www.kavak.com/volkswagen-gol-hb-trendline-2019-compra-de-autos-31582,https://images.kavak.services/images/31582/volkswagen-gol-hb-trendline2019-frontal-lateral-piloto-lejana-1608784006708.jpg?d=540x310,"2019 • 21,250 km • Monterrey","$199,999"
Mitsubishi Mirage Hatch Back GLS,https://www.kavak.com/mitsubishi-mirage-hatch-back-gls-2019-compra-de-autos-31368,,"2019 • 12,700 km • Monterrey","$202,999"
Volkswagen Gol Hatch Back Trendline,https://www.kavak.com/volkswagen-gol-hatch-back-trendline-2019-compra-de-autos-31332,,"2019 • 19,120 km • Monterrey","$197,999"
Nissan Juke Exclusive,https://www.kavak.com/nissan-juke-exclusive-2017-compra-de-autos-31224,,"2017 • 69,370 km • Monterrey","$307,999"
Buick Verano Premium,https://www.kavak.com/buick-verano-premium-2015-compra-de-autos-30496,,"2015 • 87,020 km • Monterrey","$229,999"
Infiniti M56 M56,https://www.kavak.com/infiniti-m56-m56-2013-compra-de-autos-30273,,"2013 • 29,210 km • Monterrey","$325,999"
Infiniti Q70 Perfection,https://www.kavak.com/infiniti-q70-perfection-2016-compra-de-autos-29549,,"2016 • 67,400 km • Monterrey","$454,999"
Honda CR-V LX,https://www.kavak.com/honda-cr-v-lx-2014-compra-de-autos-29378,,"2014 • 100,610 km • Monterrey","$244,999"
Audi A6 Elite 2.0T,https://www.kavak.com/audi-a6-elite-20t-2017-compra-de-autos-28900,,"2017 • 34,500 km • Monterrey","$527,999"
"Acura TSX TSX 3,5l",https://www.kavak.com/acura-tsx-tsx-35l-2013-compra-de-autos-28767,,"2013 • 96,100 km • Monterrey","$202,999"
Honda CR-V I Style,https://www.kavak.com/honda-cr-v-i-style-2016-compra-de-autos-28192,,"2016 • 83,100 km • Monterrey","$310,999"
Volkswagen Jetta A6 2.0l TM5,https://www.kavak.com/volkswagen-jetta-a6-20l-tm5-2018-compra-de-autos-27680,,"2018 • 70,100 km • Monterrey","$224,999"
Honda Odyssey EXL,https://www.kavak.com/honda-odyssey-exl-2016-compra-de-autos-27630,,"2016 • 100,900 km • Monterrey","$372,999"
Bmw X1 20i,https://www.kavak.com/bmw-x1-20i-2014-compra-de-autos-27412,,"2014 • 88,400 km • Monterrey","$229,999"
Toyota Sienna XLE,https://www.kavak.com/toyota-sienna-xle-2013-compra-de-autos-26534,,"2013 • 102,200 km • Monterrey","$259,999"
Audi A6 Elite 2.0T,https://www.kavak.com/audi-a6-elite-20t-2017-compra-de-autos-26402,,"2017 • 62,700 km • Monterrey","$524,999"
Smart Forfour Prime,https://www.kavak.com/smart-smart-forfour-prime-2017-compra-de-autos-24442,,"2017 • 22,512 km • Monterrey","$276,999"
Volkswagen Beetle Hatch Back Sport,https://www.kavak.com/volkswagen-beetle-hatch-back-sport-2016-compra-de-autos-23273,,"2016 • 45,210 km • Monterrey","$227,999"
Seat Leon Style 1.4T,https://www.kavak.com/seat-leon-style-14t-2016-compra-de-autos-23202,,"2016 • 87,299 km • Monterrey","$244,999"
Lincoln MKX Reserve,https://www.kavak.com/lincoln-mkx-reserve-2017-compra-de-autos-22408,,"2017 • 54,000 km • Monterrey","$471,999"
Ford Explorer Platinum,https://www.kavak.com/ford-explorer-platinum-2018-compra-de-autos-20390,,"2018 • 35,262 km • Monterrey","$712,999"
Bmw Serie 3 M3,https://www.kavak.com/bmw-serie-3-m3-2018-compra-de-autos-19949,,"2018 • 16,048 km • Monterrey","$1,142,999"
Bmw X5 50i Excellence,https://www.kavak.com/bmw-x5-50i-excellence-2017-compra-de-autos-13741,,"2017 • 48,750 km • Monterrey","$767,999"
Bmw Serie 6 650i Gran Coupé,https://www.kavak.com/bmw-serie-6-650i-gran-coupe-2016-compra-de-autos-13225,,"2016 • 30,324 km • Monterrey","$817,999"
Nissan Versa Advance,https://www.kavak.com/nissan-versa-advance-2018-compra-de-autos-122423,,"2018 • 43,000 km • Monterrey","$194,999"
Fiat 500 Hatch Back Trendy,https://www.kavak.com/fiat-500-hatch-back-trendy-2015-compra-de-autos-122412,,"2015 • 102,000 km • Monterrey","$173,999"
Smart Fortwo Coupé Passion,https://www.kavak.com/smart-smart-fortwo-coupe-passion-2013-compra-de-autos-122253,,"2013 • 39,490 km • Monterrey","$147,999"
Hyundai Elantra GLS Premium,https://www.kavak.com/hyundai-elantra-gls-premium-2018-compra-de-autos-122234,,"2018 • 58,590 km • Monterrey","$262,999"
Bmw X1 20i X Line,https://www.kavak.com/bmw-x1-20i-x-line-2018-compra-de-autos-121881,https://images.kavak.services/images/121881/EXTERIOR-frontSidePilotNear-16336244033749.jpg?d=540x310,"2018 • 52,200 km • Monterrey","$439,999"
Kia Sportage EX Pack,https://www.kavak.com/kia-sportage-ex-pack-2017-compra-de-autos-121697,https://images.kavak.services/images/121697/EXTERIOR-frontSidePilotNear-16334682539362.jpg?d=540x310,"2017 • 67,200 km • Monterrey","$357,999"
Mazda 6 I Grand Touring Plus,https://www.kavak.com/mazda-mazda-6-i-grand-touring-plus-2017-compra-de-autos-121635,https://images.kavak.services/images/121635/EXTERIOR-frontSidePilotNear-16336179015174.jpg?d=540x310,"2017 • 83,890 km • Monterrey","$292,999"
Lincoln MKZ High,https://www.kavak.com/lincoln-mkz-high-2016-compra-de-autos-121364,https://images.kavak.services/images/121364/EXTERIOR-frontSidePilotNear-16334659006732.jpg?d=540x310,"2016 • 56,000 km • Monterrey","$304,999"
Mazda 3 i Touring,https://www.kavak.com/mazda-mazda-3-i-touring-2018-compra-de-autos-121179,https://images.kavak.services/images/121179/EXTERIOR-frontSidePilotNear-16339854884609.jpg?d=540x310,"2018 • 61,000 km • Monterrey","$274,999"
Kia Forte LX,https://www.kavak.com/kia-forte-lx-2017-compra-de-autos-121130,https://images.kavak.services/images/121130/EXTERIOR-frontSidePilotNear-16331257153509.jpg?d=540x310,"2017 • 91,000 km • Monterrey","$202,999"
Hyundai Creta GLS,https://www.kavak.com/hyundai-creta-gls-2019-compra-de-autos-121070,https://images.kavak.services/images/121070/EXTERIOR-frontSidePilotNear-16333885145614.jpg?d=540x310,"2019 • 52,000 km • Monterrey","$277,999"
Acura ILX Tech,https://www.kavak.com/acura-ilx-tech-2016-compra-de-autos-121036,https://images.kavak.services/images/121036/EXTERIOR-frontSidePilotNear-16333657846358.jpg?d=540x310,"2016 • 121,000 km • Monterrey","$262,999"
Volkswagen Jetta A6 Comfortline,https://www.kavak.com/volkswagen-jetta-a6-comfortline-2016-compra-de-autos-120999,https://images.kavak.services/images/120999/EXTERIOR-frontSidePilotNear-16331215661591.jpg?d=540x310,"2016 • 79,850 km • Monterrey","$232,999"
Ford Fusion SE Luxury,https://www.kavak.com/ford-fusion-se-luxury-2013-compra-de-autos-120853,,"2013 • 50,020 km • Monterrey","$194,999"
